順位,コード,銘柄名,HV(%),データ日数,21日間上昇率(%)
1,5803,フジクラ,140.68,21,-20.97
2,9984,ソフトバンクグループ,123.45,21,25.62
3,6723,ルネサスエレクトロニクス,90.43,21,43.27
4,5802,住友電気工業,85.59,21,25.66
5,7733,オリンパス,76.52,21,16.88
6,4519,中外製薬,74.94,21,-10.77
7,6954,ファナック,73.14,21,26.15
8,6861,キーエンス,73.13,21,26.8
9,6981,村田製作所,72.68,21,95.0
10,6273,ＳＭＣ,72.48,21,-1.93
11,8053,住友商事,68.34,21,22.8
12,6702,富士通,68.25,21,-8.87
13,4307,野村総合研究所,68.15,21,-1.37
14,6920,レーザーテック,66.39,21,-10.94
15,6857,アドバンテスト,64.88,21,-11.11
16,6762,ＴＤＫ,64.46,21,52.71
17,4543,テルモ,63.97,21,16.78
18,6098,リクルートホールディングス,62.4,21,44.64
19,6146,ディスコ,59.5,21,-9.22
20,8015,豊田通商,57.07,21,13.16
21,8035,東京エレクトロン,54.71,21,14.33
22,8830,住友不動産,54.7,21,-20.61
23,8630,ＳＯＭＰＯホールディングス,53.28,21,2.07
24,2802,味の素,51.56,21,8.28
25,6367,ダイキン工業,51.53,21,7.98
26,8591,オリックス,50.22,21,28.7
27,6758,ソニーグループ,49.99,21,7.36
28,6752,パナソニック ホールディングス,49.25,21,28.52
29,4063,信越化学工業,49.07,21,14.63
30,7974,任天堂,48.58,21,-10.12
31,4689,ＬＩＮＥヤフー,46.73,21,0.24
32,8308,りそなホールディングス,46.69,21,12.09
33,4661,オリエンタルランド,46.58,21,-4.33
34,8058,三菱商事,46.51,21,2.32
35,6701,日本電気,45.54,21,-9.08
36,4188,三菱ケミカルグループ,45.3,21,25.91
37,8411,みずほフィナンシャルグループ,45.29,21,11.95
38,7936,アシックス,45.14,21,9.72
39,6503,三菱電機,45.09,21,9.32
40,8801,三井不動産,44.35,21,-10.21
41,7270,ＳＵＢＡＲＵ,43.81,21,-0.25
42,7269,スズキ,43.76,21,11.15
43,7182,ゆうちょ銀行,43.07,21,22.27
44,8697,日本取引所グループ,42.04,21,6.26
45,4503,アステラス製薬,41.51,21,-7.5
46,9020,東日本旅客鉄道,41.5,21,-1.42
47,7267,本田技研工業,41.18,21,12.04
48,6501,日立製作所,40.89,21,-1.2
49,6326,クボタ,40.13,21,11.06
50,8267,イオン,39.81,21,-9.61
51,7832,バンダイナムコホールディングス,38.97,21,-2.75
52,8604,野村ホールディングス,38.3,21,-2.06
53,8002,丸紅,38.0,21,-12.47
54,3407,旭化成,37.0,21,17.03
55,9983,ファーストリテイリング,36.83,21,17.46
56,4901,富士フイルムホールディングス,36.78,21,14.71
57,9735,セコム,36.43,21,11.99
58,8309,三井住友トラスト・ホールディングス,36.14,21,6.91
59,9022,東海旅客鉄道,34.83,21,-15.35
60,6971,京セラ,33.92,21,28.52
61,8750,第一生命ホールディングス,33.85,21,16.03
62,5020,ＥＮＥＯＳホールディングス,33.57,21,0.46
63,8031,三井物産,33.46,21,-8.54
64,7201,日産自動車,33.13,21,12.46
65,4578,大塚ホールディングス,33.04,21,8.37
66,4568,第一三共,32.7,21,8.04
67,8316,三井住友フィナンシャルグループ,32.63,21,8.83
68,4507,塩野義製薬,32.07,21,-3.54
69,8766,東京海上ホールディングス,31.82,21,-0.91
70,8802,三菱地所,31.36,21,-9.28
71,2914,日本たばこ産業,31.05,21,5.8
72,9202,ＡＮＡホールディングス,30.85,21,10.79
73,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,30.79,21,8.64
74,7011,三菱重工業,30.62,21,-19.67
75,6902,デンソー,30.27,21,2.14
76,8113,ユニ・チャーム,29.83,21,-0.42
77,7309,シマノ,29.69,21,-0.69
78,9433,ＫＤＤＩ,29.25,21,6.74
79,6301,小松製作所,29.14,21,-4.78
80,7741,ＨＯＹＡ,28.68,21,-5.28
81,7203,トヨタ自動車,28.67,21,-0.82
82,8306,三菱ＵＦＪフィナンシャル・グループ,28.58,21,8.82
83,2503,キリンホールディングス,28.5,21,8.46
84,8729,ソニーフィナンシャルグループ,28.08,21,6.06
85,9101,日本郵船,27.81,21,-9.55
86,6178,日本郵政,27.02,21,16.18
87,9104,商船三井,26.24,21,-10.55
88,8001,伊藤忠商事,25.94,21,-0.21
89,3382,セブン＆アイ・ホールディングス,25.75,21,-2.77
90,9021,西日本旅客鉄道,24.13,21,-11.4
91,2502,アサヒグループホールディングス,22.67,21,-2.18
92,1925,大和ハウス工業,22.41,21,-9.39
93,5108,ブリヂストン,21.38,21,4.81
94,4452,花王,20.46,21,3.63
95,7751,キヤノン,19.54,21,5.07
96,5401,日本製鉄,18.38,21,-1.05
97,9434,ソフトバンク,18.18,21,-2.27
98,1928,積水ハウス,17.67,21,-1.03
99,4502,武田薬品工業,16.32,21,-4.07
100,9432,日本電信電話,13.92,21,-1.32
