順位,コード,銘柄名,開始価格(2026/05/08),終了価格(2026/05/11),上昇率(%)
1,2802,味の素,5030,5499,9.32
2,6758,ソニーグループ,3114,3372,8.29
3,2914,日本たばこ産業,5769,6164,6.85
4,8591,オリックス,5277,5514,4.49
5,5803,フジクラ,6582,6832,3.8
6,8015,豊田通商,6743,6991,3.68
7,8308,りそなホールディングス,1940,1998,2.99
8,7936,アシックス,4640,4769,2.78
9,7182,ゆうちょ銀行,2724,2796,2.64
10,8802,三菱地所,4378,4489,2.54
11,8316,三井住友フィナンシャルグループ,5546,5661,2.07
12,4568,第一三共,2596,2649,2.04
13,4689,ＬＩＮＥヤフー,440,449,2.0
14,8750,第一生命ホールディングス,1438,1466,1.95
15,8309,三井住友トラスト・ホールディングス,5406,5508,1.89
16,6981,村田製作所,5850,5960,1.88
17,8306,三菱ＵＦＪフィナンシャル・グループ,2806,2856,1.78
18,8411,みずほフィナンシャルグループ,6771,6890,1.76
19,8766,東京海上ホールディングス,7030,7150,1.71
20,8031,三井物産,5560,5649,1.6
21,6971,京セラ,2814,2858,1.55
22,7201,日産自動車,346,350,1.3
23,4063,信越化学工業,7480,7574,1.26
24,8830,住友不動産,4756,4816,1.26
25,5020,ＥＮＥＯＳホールディングス,1290,1305,1.2
26,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,3978,4024,1.16
27,4503,アステラス製薬,2300,2325,1.09
28,4901,富士フイルムホールディングス,3023,3055,1.06
29,8630,ＳＯＭＰＯホールディングス,5762,5821,1.02
30,4507,塩野義製薬,3177,3207,0.94
31,6326,クボタ,2814,2839,0.89
32,8801,三井不動産,1656,1670,0.85
33,6920,レーザーテック,43770,44110,0.78
34,6301,小松製作所,6566,6615,0.75
35,7751,キヤノン,4063,4092,0.71
36,1928,積水ハウス,3407,3430,0.68
37,4519,中外製薬,7900,7953,0.67
38,6954,ファナック,7515,7564,0.65
39,9434,ソフトバンク,220,222,0.64
40,4188,三菱ケミカルグループ,922,927,0.53
41,6178,日本郵政,1856,1865,0.51
42,6752,パナソニック ホールディングス,3318,3334,0.48
43,9104,商船三井,5774,5802,0.48
44,7832,バンダイナムコホールディングス,3637,3653,0.44
45,5108,ブリヂストン,3284,3298,0.43
46,6762,ＴＤＫ,2924,2936,0.43
47,8053,住友商事,7180,7206,0.36
48,9021,西日本旅客鉄道,2782,2786,0.14
49,3382,セブン＆アイ・ホールディングス,1898,1901,0.13
50,8267,イオン,1531,1532,0.07
51,9983,ファーストリテイリング,75000,75050,0.07
52,8058,三菱商事,5249,5252,0.06
53,9022,東海旅客鉄道,3579,3580,0.03
54,8002,丸紅,5418,5418,0.0
55,8604,野村ホールディングス,1228,1228,0.0
56,6201,豊田自動織機,20430,20425,-0.02
57,1925,大和ハウス工業,4773,4770,-0.06
58,9020,東日本旅客鉄道,3645,3639,-0.16
59,6503,三菱電機,6460,6447,-0.2
60,3407,旭化成,1536,1532,-0.26
61,4578,大塚ホールディングス,11025,10990,-0.32
62,9202,ＡＮＡホールディングス,2838,2828,-0.33
63,8729,ソニーフィナンシャルグループ,140,140,-0.36
64,9433,ＫＤＤＩ,2528,2520,-0.36
65,9735,セコム,5647,5622,-0.44
66,2502,アサヒグループホールディングス,1529,1520,-0.59
67,6273,ＳＭＣ,82860,82320,-0.65
68,8035,東京エレクトロン,52450,52080,-0.71
69,8697,日本取引所グループ,1862,1848,-0.75
70,4543,テルモ,1972,1957,-0.79
71,5802,住友電気工業,11305,11210,-0.84
72,6723,ルネサスエレクトロニクス,3530,3500,-0.85
73,7741,ＨＯＹＡ,27470,27235,-0.86
74,2503,キリンホールディングス,2496,2474,-0.9
75,4502,武田薬品工業,5213,5162,-0.98
76,6501,日立製作所,4938,4887,-1.03
77,6367,ダイキン工業,24550,24290,-1.06
78,4307,野村総合研究所,4351,4301,-1.15
79,9432,日本電信電話,150,148,-1.2
80,6702,富士通,3382,3341,-1.21
81,4452,花王,5947,5871,-1.28
82,7733,オリンパス,1572,1551,-1.3
83,8001,伊藤忠商事,2010,1983,-1.34
84,7269,スズキ,1808,1784,-1.36
85,7267,本田技研工業,1269,1251,-1.42
86,7203,トヨタ自動車,2913,2870,-1.48
87,6098,リクルートホールディングス,7822,7700,-1.56
88,7270,ＳＵＢＡＲＵ,2358,2320,-1.63
89,5401,日本製鉄,571,561,-1.72
90,4661,オリエンタルランド,2242,2202,-1.74
91,9101,日本郵船,5571,5471,-1.8
92,6902,デンソー,1919,1879,-2.08
93,6146,ディスコ,75000,73380,-2.16
94,6861,キーエンス,84170,82300,-2.22
95,6701,日本電気,4200,4101,-2.36
96,7011,三菱重工業,4510,4384,-2.79
97,8113,ユニ・チャーム,945,915,-3.15
98,6857,アドバンテスト,29885,28780,-3.7
99,7309,シマノ,17295,16515,-4.51
100,9984,ソフトバンクグループ,6131,5743,-6.33
101,7974,任天堂,7667,7020,-8.44
