順位,コード,銘柄名,HV(%),データ日数,21日間上昇率(%)
1,6613,QDレーザ,177.54,21,65.46
2,5803,フジクラ,140.68,21,-20.97
3,9984,ソフトバンクグループ,123.45,21,25.62
4,3436,SUMCO,117.18,21,78.14
5,5985,サンコール,112.96,21,6.56
6,6834,精工技研,108.83,21,-11.9
7,5801,古河電気工業,108.6,21,21.21
8,4980,デクセリアルズ（テクセリアルズ）,108.16,21,65.49
9,6315,TOWA,107.24,21,15.62
10,285A,キオクシアホールディングス,105.94,21,90.43
11,4425,Kudan,103.9,21,-28.25
12,6777,santec,98.59,21,-12.96
13,6976,太陽誘電,97.59,21,127.64
14,6965,浜松ホトニクス,96.0,21,48.96
15,6526,ソシオネクスト,93.72,21,28.79
16,6871,日本マイクロニクス,92.54,21,17.54
17,5016,JX金属,92.27,21,-15.05
18,6723,ルネサス,90.43,21,43.27
19,6525,KOUSAI ELECTRIC,90.03,21,23.55
20,5802,住友電気工業,85.59,21,25.66
21,6254,野村マイクロ・サイエンス,85.11,21,25.41
22,5805,SWCC,81.94,21,-4.26
23,7911,TOPPANHD,81.48,21,-0.44
24,4186,東京応化工業,75.57,21,21.4
25,4272,日本化薬,74.14,21,22.39
26,6890,フェローテック,73.33,21,16.18
27,6981,村田製作所,72.68,21,95.0
28,6524,湖北工業,72.64,21,18.13
29,4004,レゾナックHD,71.42,21,35.95
30,6941,山一電機,71.19,21,-16.56
31,6963,ローム,69.24,21,44.97
32,6702,富士通,68.25,21,-8.87
33,6504,富士電機,68.21,21,26.45
34,7731,ニコン,66.68,21,10.16
35,6616,トレックス・セミコンダクター,66.55,21,48.86
36,6920,レーザーテック,66.39,21,-10.94
37,5232,住阪セメ,65.75,21,38.26
38,6857,アドバンテスト,64.88,21,-11.11
39,3993,PKSH Technology,64.84,21,-3.81
40,6762,TDK,64.46,21,52.71
41,6323,ローツェ,64.11,21,8.11
42,4043,トクヤマ,63.69,21,35.0
43,4180,Appier Group,63.36,21,4.86
44,4476,AI CROSS,62.41,21,-5.3
45,7713,シグマ光機,62.28,21,25.59
46,7735,SCREENホールディングス,60.44,21,4.81
47,6146,ディスコ,59.5,21,-9.22
48,4369,トリケミカル,59.32,21,17.81
49,6361,荏原製作所,58.6,21,7.15
50,6728,アルバック,58.32,21,-2.75
51,7912,大日印,57.38,21,-6.98
52,7729,東京精密,57.15,21,-0.26
53,4401,ADEKA,54.86,21,12.56
54,8035,東京エレクトロン,54.71,21,14.33
55,4203,住友ベークライト,54.61,21,31.81
56,3132,マクニカHD,53.52,21,22.63
57,4488,AI inside,53.24,21,-16.73
58,6707,サンケン電気,51.4,21,-6.35
59,6758,ソニーグループ,49.99,21,7.36
60,4063,信越化学工業,49.07,21,14.63
61,6754,アンリツ,48.89,21,26.52
62,6806,ヒロセ電,46.85,21,29.62
63,6701,NEC,45.54,21,-9.08
64,6503,三菱電,45.09,21,9.32
65,5333,ＮＧＫ,42.37,21,42.64
66,6721,ウインテスト,41.84,21,-25.49
67,6501,日立,40.89,21,-1.2
68,6971,京セラ,33.92,21,28.52
69,8154,加賀電子,33.78,21,5.36
70,7741,HOYA,28.68,21,-5.28
71,6167,冨士ダイス,28.29,21,0.4
72,4021,日産化学,21.98,21,12.75
73,5819,カナレ電気,20.65,21,-5.96
74,4626,太陽ホールディングス,19.1,21,3.38
75,9432,NTT,13.92,21,-1.32
