順位,コード,銘柄名,開始価格(2026/05/14),終了価格(2026/05/15),上昇率(%)
1,6965,浜松ホトニクス,2157,2657,23.18
2,4980,デクセリアルズ（テクセリアルズ）,3149,3849,22.23
3,6254,野村マイクロ・サイエンス,4355,4950,13.66
4,6613,QDレーザ,1579,1727,9.37
5,6526,ソシオネクスト,2295,2426,5.71
6,7713,シグマ光機,1992,2094,5.12
7,6758,ソニーグループ,3444,3576,3.83
8,6501,日立,4671,4812,3.02
9,6754,アンリツ,4144,4239,2.29
10,6525,KOUSAI ELECTRIC,6452,6590,2.14
11,9432,NTT,150,152,1.47
12,7741,HOYA,27670,28005,1.21
13,7912,大日印,2896,2910,0.5
14,3132,マクニカHD,3234,3241,0.22
15,6616,トレックス・セミコンダクター,2388,2390,0.08
16,6721,ウインテスト,99,99,0.0
17,5819,カナレ電気,1801,1798,-0.17
18,4476,AI CROSS,1019,1017,-0.2
19,6503,三菱電,6436,6416,-0.31
20,9984,ソフトバンクグループ,5770,5745,-0.43
21,4626,太陽ホールディングス,4935,4900,-0.71
22,6702,富士通,3240,3217,-0.71
23,6701,NEC,4049,4004,-1.11
24,6167,冨士ダイス,1021,1009,-1.18
25,6707,サンケン電気,9185,9067,-1.28
26,6806,ヒロセ電,24285,23915,-1.52
27,5333,ＮＧＫ,5787,5696,-1.57
28,4272,日本化薬,2094,2058,-1.72
29,6971,京セラ,2935,2884,-1.74
30,8035,東京エレクトロン,51200,50290,-1.78
31,4203,住友ベークライト,6700,6572,-1.91
32,6504,富士電機,15435,15135,-1.94
33,4488,AI inside,2370,2323,-1.98
34,6976,太陽誘電,6910,6762,-2.14
35,4021,日産化学,7406,7234,-2.32
36,6941,山一電機,9890,9660,-2.33
37,6762,TDK,3072,2993,-2.57
38,7731,ニコン,2326,2266,-2.62
39,6981,村田製作所,6339,6151,-2.97
40,6361,荏原製作所,5729,5533,-3.42
41,6890,フェローテック,9800,9460,-3.47
42,6524,湖北工業,7010,6750,-3.71
43,6963,ローム,4357,4180,-4.06
44,4043,トクヤマ,4865,4645,-4.52
45,5801,古河電気工業,57220,54480,-4.79
46,4063,信越化学工業,7476,7105,-4.96
47,6920,レーザーテック,40560,38410,-5.3
48,6723,ルネサス,3854,3647,-5.37
49,6728,アルバック,10030,9486,-5.42
50,5232,住阪セメ,5180,4898,-5.44
51,8154,加賀電子,4450,4200,-5.62
52,4369,トリケミカル,3640,3430,-5.77
53,5016,JX金属,4447,4175,-6.12
54,6323,ローツェ,3997,3739,-6.45
55,4186,東京応化工業,11545,10760,-6.8
56,6315,TOWA,2769,2579,-6.86
57,6777,santec,31950,29750,-6.89
58,7729,東京精密,17765,16515,-7.04
59,7735,SCREENホールディングス,12205,11335,-7.13
60,6146,ディスコ,70000,64900,-7.29
61,6871,日本マイクロニクス,16570,15300,-7.66
62,6857,アドバンテスト,28615,26360,-7.88
63,4004,レゾナックHD,18690,17200,-7.97
64,5805,SWCC,16990,15590,-8.24
65,285A,キオクシアホールディングス,48460,44450,-8.27
66,5803,フジクラ,6355,5819,-8.43
67,4180,Appier Group,1057,967,-8.51
68,5802,住友電気工業,12105,10980,-9.29
69,4401,ADEKA,4555,4125,-9.44
70,3436,SUMCO,3427,3090,-9.83
71,3993,PKSH Technology,3300,2902,-12.06
72,5985,サンコール,1875,1619,-13.65
73,7911,TOPPANHD,5372,4480,-16.6
74,4425,Kudan,2904,2404,-17.22
75,6834,精工技研,34150,28190,-17.45
