順位,コード,銘柄名,開始価格(2026/04/24),終了価格(2026/05/25),上昇率(%)
1,6981,村田製作所,4936,7928,60.62
2,6762,ＴＤＫ,2690,3715,38.13
3,6723,ルネサスエレクトロニクス,3141,4297,36.8
4,6954,ファナック,6256,8428,34.72
5,6098,リクルートホールディングス,7308,9688,32.57
6,8591,オリックス,4846,6286,29.72
7,8053,住友商事,5781,7361,27.33
8,6861,キーエンス,63180,78860,24.82
9,6752,パナソニック ホールディングス,2879,3566,23.86
10,7182,ゆうちょ銀行,2510,3093,23.23
11,5802,住友電気工業,10015,12265,22.47
12,4188,三菱ケミカルグループ,911,1090,19.54
13,7733,オリンパス,1528,1818,18.97
14,9984,ソフトバンクグループ,5963,7070,18.56
15,8750,第一生命ホールディングス,1410,1666,18.11
16,6178,日本郵政,1780,2092,17.53
17,8308,りそなホールディングス,1820,2124,16.67
18,3407,旭化成,1527,1770,15.91
19,8015,豊田通商,6124,7096,15.87
20,2802,味の素,4758,5475,15.07
21,6971,京セラ,2710,3106,14.61
22,9735,セコム,5670,6479,14.27
23,8035,東京エレクトロン,45850,52180,13.81
24,8411,みずほフィナンシャルグループ,6427,7304,13.65
25,4543,テルモ,2056,2335,13.57
26,6367,ダイキン工業,21565,24470,13.47
27,8316,三井住友フィナンシャルグループ,5347,6056,13.26
28,6758,ソニーグループ,3208,3598,12.16
29,8306,三菱ＵＦＪフィナンシャル・グループ,2756,3066,11.27
30,8309,三井住友トラスト・ホールディングス,5120,5661,10.57
31,4901,富士フイルムホールディングス,2896,3194,10.29
32,6503,三菱電機,5999,6560,9.35
33,8697,日本取引所グループ,1836,2000,8.99
34,7267,本田技研工業,1296,1408,8.64
35,2503,キリンホールディングス,2506,2708,8.06
36,4568,第一三共,2499,2700,8.06
37,7269,スズキ,1776,1911,7.57
38,8058,三菱商事,4950,5320,7.47
39,6326,クボタ,2559,2748,7.37
40,8729,ソニーフィナンシャルグループ,132,142,7.17
41,9983,ファーストリテイリング,70090,75090,7.13
42,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,3946,4216,6.84
43,4578,大塚ホールディングス,10810,11525,6.61
44,9202,ＡＮＡホールディングス,2697,2874,6.58
45,7201,日産自動車,353,374,6.01
46,7936,アシックス,4414,4650,5.35
47,7751,キヤノン,4024,4230,5.12
48,2914,日本たばこ産業,5829,6097,4.6
49,4063,信越化学工業,6768,7041,4.03
50,9020,東日本旅客鉄道,3461,3570,3.15
51,8766,東京海上ホールディングス,7176,7387,2.94
52,9433,ＫＤＤＩ,2565,2634,2.71
53,5108,ブリヂストン,3285,3349,1.95
54,4452,花王,5901,6000,1.68
55,7270,ＳＵＢＡＲＵ,2448,2464,0.69
56,8001,伊藤忠商事,1940,1951,0.57
57,6201,豊田自動織機,20470,20480,0.05
58,7309,シマノ,16620,16535,-0.51
59,9432,日本電信電話,152,151,-0.53
60,5020,ＥＮＥＯＳホールディングス,1300,1290,-0.77
61,9434,ソフトバンク,220,218,-1.18
62,1928,積水ハウス,3388,3344,-1.3
63,7203,トヨタ自動車,3067,3026,-1.34
64,6902,デンソー,1868,1837,-1.66
65,7832,バンダイナムコホールディングス,3744,3651,-2.48
66,4507,塩野義製薬,3110,3029,-2.6
67,6146,ディスコ,71700,69780,-2.68
68,5401,日本製鉄,573,556,-2.95
69,8604,野村ホールディングス,1312,1273,-2.97
70,8113,ユニ・チャーム,952,921,-3.29
71,6501,日立製作所,5229,5054,-3.35
72,2502,アサヒグループホールディングス,1558,1498,-3.85
73,3382,セブン＆アイ・ホールディングス,1913,1838,-3.95
74,4689,ＬＩＮＥヤフー,416,398,-4.3
75,4502,武田薬品工業,5335,5104,-4.33
76,8630,ＳＯＭＰＯホールディングス,5837,5575,-4.49
77,6920,レーザーテック,45060,43020,-4.53
78,6273,ＳＭＣ,70470,66930,-5.02
79,8031,三井物産,5784,5465,-5.52
80,6857,アドバンテスト,29440,27755,-5.72
81,1925,大和ハウス工業,4783,4431,-7.36
82,6301,小松製作所,6907,6385,-7.56
83,7741,ＨＯＹＡ,28590,26300,-8.01
84,5803,フジクラ,6037,5550,-8.07
85,4503,アステラス製薬,2468,2268,-8.12
86,4519,中外製薬,8845,8117,-8.23
87,8267,イオン,1540,1410,-8.41
88,8802,三菱地所,4471,4094,-8.43
89,6701,日本電気,4513,4106,-9.02
90,9104,商船三井,6122,5560,-9.18
91,9021,西日本旅客鉄道,2966,2688,-9.34
92,9101,日本郵船,5874,5321,-9.41
93,4307,野村総合研究所,5092,4612,-9.43
94,6702,富士通,3696,3308,-10.5
95,8002,丸紅,5936,5312,-10.51
96,8801,三井不動産,1704,1523,-10.62
97,7974,任天堂,7953,7070,-11.1
98,4661,オリエンタルランド,2400,2126,-11.44
99,9022,東海旅客鉄道,4110,3552,-13.58
100,8830,住友不動産,4682,3869,-17.36
101,7011,三菱重工業,4738,3908,-17.52
