順位,コード,銘柄名,開始価格(2026/04/28),終了価格(2026/05/29),上昇率(%)
1,6976,太陽誘電,6586,14815,124.95
2,6981,村田製作所,4840,9625,98.86
3,285A,キオクシアホールディングス,36320,65850,81.31
4,3436,SUMCO,2348,3994,70.14
5,6613,QDレーザ,1459,2424,66.14
6,4980,デクセリアルズ（テクセリアルズ）,2462,4038,64.05
7,6963,ローム,3431,5458,59.08
8,6723,ルネサス,2913,4500,54.48
9,6762,TDK,2677,4108,53.46
10,6616,トレックス・セミコンダクター,1948,2815,44.51
11,6965,浜松ホトニクス,2002,2863,42.97
12,9984,ソフトバンクグループ,5268,7491,42.2
13,5232,住阪セメ,3905,5439,39.28
14,4043,トクヤマ,3717,5107,37.4
15,5333,ＮＧＫ,4670,6316,35.25
16,4004,レゾナックHD,14155,18720,32.25
17,6526,ソシオネクスト,2010,2635,31.13
18,6806,ヒロセ電,21760,28225,29.71
19,6971,京セラ,2689,3483,29.53
20,4203,住友ベークライト,5472,6900,26.1
21,6525,KOUSAI ELECTRIC,6512,8211,26.09
22,5802,住友電気工業,10190,12585,23.5
23,7713,シグマ光機,1944,2390,22.92
24,6504,富士電機,12650,15440,22.06
25,4272,日本化薬,1748,2132,22.0
26,6254,野村マイクロ・サイエンス,3765,4590,21.91
27,5801,古河電気工業,42900,52060,21.35
28,4186,東京応化工業,9169,11010,20.08
29,3132,マクニカHD,2638,3110,17.89
30,8035,東京エレクトロン,45150,52420,16.1
31,6754,アンリツ,3974,4547,14.42
32,6871,日本マイクロニクス,13090,14740,12.61
33,6890,フェローテック,7750,8690,12.13
34,4369,トリケミカル,3395,3770,11.05
35,4021,日産化学,6770,7509,10.92
36,4401,ADEKA,3878,4292,10.68
37,4063,信越化学工業,7081,7758,9.56
38,6524,湖北工業,5470,5930,8.41
39,7731,ニコン,1706,1844,8.15
40,6503,三菱電,6078,6558,7.9
41,4180,Appier Group,888,950,6.98
42,6758,ソニーグループ,3234,3444,6.49
43,7735,SCREENホールディングス,10445,11120,6.46
44,8154,加賀電子,4185,4425,5.73
45,6361,荏原製作所,5423,5683,4.79
46,6315,TOWA,2870,3005,4.7
47,4626,太陽ホールディングス,4800,4962,3.38
48,6501,日立,5047,5166,2.36
49,6323,ローツェ,3855,3933,2.02
50,5985,サンコール,1688,1705,1.01
51,7729,東京精密,17355,17385,0.17
52,7911,TOPPANHD,4607,4562,-0.98
53,9432,NTT,151,150,-1.06
54,6167,冨士ダイス,1020,1004,-1.57
55,6707,サンケン電気,9481,9090,-4.12
56,5805,SWCC,15590,14840,-4.81
57,3993,PKSH Technology,3315,3155,-4.83
58,6728,アルバック,10090,9504,-5.81
59,5819,カナレ電気,1899,1782,-6.16
60,7912,大日印,2956,2770,-6.26
61,7741,HOYA,29305,27080,-7.59
62,6701,NEC,4444,4103,-7.67
63,6834,精工技研,29410,26960,-8.33
64,6702,富士通,3693,3368,-8.8
65,6920,レーザーテック,44330,40130,-9.47
66,6857,アドバンテスト,29750,26170,-12.03
67,6777,santec,28580,24980,-12.6
68,6941,山一電機,10060,8720,-13.32
69,6146,ディスコ,76440,65090,-14.85
70,4476,AI CROSS,1178,1000,-15.11
71,4488,AI inside,2629,2215,-15.75
72,5016,JX金属,4824,3929,-18.55
73,5803,フジクラ,6281,4771,-24.04
74,6721,ウインテスト,104,76,-26.92
75,4425,Kudan,2575,1831,-28.89
