企業コード,銘柄名
285A,キオクシアホールディングス
3132,マクニカHD
3436,SUMCO
3993,PKSH Technology
4004,レゾナックHD
4021,日産化学
4043,トクヤマ
4063,信越化学工業
4180,Appier Group
4186,東京応化工業
4203,住友ベークライト
4272,日本化薬
4369,トリケミカル
4401,ADEKA
4425,Kudan
4476,AI CROSS
4488,AI inside
4626,太陽ホールディングス
4980,デクセリアルズ（テクセリアルズ）
5016,JX金属
5232,住阪セメ
5333,ＮＧＫ
5801,古河電気工業
5802,住友電気工業
5803,フジクラ
5805,SWCC
5819,カナレ電気
5985,サンコール
6146,ディスコ
6167,冨士ダイス
6254,野村マイクロ・サイエンス
6315,TOWA
6323,ローツェ
6361,荏原製作所
6501,日立
6503,三菱電
6504,富士電機
6524,湖北工業
6525,KOUSAI ELECTRIC
6526,ソシオネクスト
6613,QDレーザ
6616,トレックス・セミコンダクター
6701,NEC
6702,富士通
6707,サンケン電気
6721,ウインテスト
6723,ルネサス
6728,アルバック
6754,アンリツ
6758,ソニーグループ
6762,TDK
6777,santec
6806,ヒロセ電
6834,精工技研
6857,アドバンテスト
6871,日本マイクロニクス
6890,フェローテック
6920,レーザーテック
6941,山一電機
6963,ローム
6965,浜松ホトニクス
6971,京セラ
6976,太陽誘電 
6981,村田製作所
7713,シグマ光機
7729,東京精密
7731,ニコン
7735,SCREENホールディングス
7741,HOYA
7911,TOPPANHD
7912,大日印
8035,東京エレクトロン
8154,加賀電子
9432,NTT
9984,ソフトバンクグループ
