企業コード,銘柄名
1925,大和ハウス工業
1928,積水ハウス
2502,アサヒグループホールディングス
2503,キリンホールディングス
2802,味の素
2914,日本たばこ産業
3382,セブン＆アイ・ホールディングス
3407,旭化成
4063,信越化学工業
4188,三菱ケミカルグループ
4307,野村総合研究所
4452,花王
4502,武田薬品工業
4503,アステラス製薬
4507,塩野義製薬
4519,中外製薬
4543,テルモ
4568,第一三共
4578,大塚ホールディングス
4661,オリエンタルランド
4689,ＬＩＮＥヤフー
4901,富士フイルムホールディングス
5020,ＥＮＥＯＳホールディングス
5108,ブリヂストン
5401,日本製鉄
5802,住友電気工業
5803,フジクラ
6098,リクルートホールディングス
6146,ディスコ
6178,日本郵政
6201,豊田自動織機
6273,ＳＭＣ
6301,小松製作所
6326,クボタ
6367,ダイキン工業
6501,日立製作所
6503,三菱電機
6701,日本電気
6702,富士通
6723,ルネサスエレクトロニクス
6752,パナソニック ホールディングス
6758,ソニーグループ
6762,ＴＤＫ
6857,アドバンテスト
6861,キーエンス
6902,デンソー
6920,レーザーテック
6954,ファナック
6971,京セラ
6981,村田製作所
7011,三菱重工業
7182,ゆうちょ銀行
7201,日産自動車
7203,トヨタ自動車
7267,本田技研工業
7269,スズキ
7270,ＳＵＢＡＲＵ
7309,シマノ
7733,オリンパス
7741,ＨＯＹＡ
7751,キヤノン
7832,バンダイナムコホールディングス
7936,アシックス
7974,任天堂
8001,伊藤忠商事
8002,丸紅
8015,豊田通商
8031,三井物産
8035,東京エレクトロン
8053,住友商事
8058,三菱商事
8113,ユニ・チャーム
8267,イオン
8306,三菱ＵＦＪフィナンシャル・グループ
8308,りそなホールディングス
8309,三井住友トラスト・ホールディングス
8316,三井住友フィナンシャルグループ
8411,みずほフィナンシャルグループ
8591,オリックス
8604,野村ホールディングス
8630,ＳＯＭＰＯホールディングス
8697,日本取引所グループ
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス
8729,ソニーフィナンシャルグループ
8750,第一生命ホールディングス
8766,東京海上ホールディングス
8801,三井不動産
8802,三菱地所
8830,住友不動産
9020,東日本旅客鉄道
9021,西日本旅客鉄道
9022,東海旅客鉄道
9101,日本郵船
9104,商船三井
9202,ＡＮＡホールディングス
9432,日本電信電話
9433,ＫＤＤＩ
9434,ソフトバンク
9735,セコム
9983,ファーストリテイリング
9984,ソフトバンクグループ
